grapheme,freq
ঁ,89
ং,70
ঃ,17
অ,189
আ,197
ই,280
ঈ,3
উ,118
ঊ,3
ঋ,4
এ,118
ঐ,9
ও,166
ঔ,5
ক,973
খ,224
গ,326
ঘ,74
ঙ,41
চ,280
ছ,276
জ,308
ঝ,38
ঞ,42
ট,376
ঠ,67
ড,79
ঢ,25
ণ,121
ত,861
থ,118
দ,524
ধ,147
ন,1172
প,604
ফ,100
ব,992
ভ,224
ম,698
য,358
র,1827
ল,778
শ,374
ষ,214
স,701
হ,243
া,2611
ি,1202
ী,183
ু,572
ূ,68
ৃ,59
ে,1935
ৈ,22
ো,427
ৌ,32
্,1736
ৎ,25
ড়,184
ঢ়,2
য়,431
৷,1
“,2
”,1
