phone,freq
r,2260
n,1415
k,539
ʲ,497
ʃ,442
m,372
l,341
b,237
t̪,227
d̪,162
ŋ,147
s,143
ɟ,137
p,122
c,114
g,102
kʰ,82
t,64
ɽ,54
tʰ,29
cʰ,28
d̪ʰ,21
ɟʰ,19
d,9
pʰ,8
bʰ,8
gʰ,8
t̪ʰ,7
h,3
