pattern,freq
cv,15016
v,1588
cvc,6649
vc,741
ccvc,197
vcc,16
ccv,351
cvcc,69
cccv,11
ccvcc,6
cccvc,7
cvcv,8
c,8
vcvc,2
cvccvc,1
