cluster,freq
ম্ম,"[0, 6, 7]"
ম্য,"[13, 3, 1]"
ম্ল,"[1, 3, 1]"
য্য,"[0, 0, 7]"
র্ক,"[0, 4, 11]"
র্ক্য,"[0, 0, 1]"
র্খ,"[0, 0, 1]"
র্গ,"[0, 6, 4]"
র্গ্য,"[0, 0, 1]"
র্ঘ,"[0, 2, 0]"
র্ঘ্য,"[0, 0, 2]"
র্চ,"[0, 0, 1]"
র্চ্য,"[0, 0, 1]"
র্ছ,"[0, 1, 0]"
র্জ,"[0, 7, 2]"
র্জ্ঞ,"[0, 1, 0]"
র্জ্য,"[0, 0, 1]"
র্ট,"[0, 4, 12]"
র্ড,"[0, 2, 1]"
র্ঢ্য,"[0, 0, 1]"
র্ণ,"[0, 5, 6]"
র্ণ্য,"[0, 0, 1]"
র্ত,"[0, 9, 11]"
র্ত্ম,"[0, 0, 1]"
র্ত্য,"[0, 0, 1]"
র্ত্র,"[0, 0, 1]"
র্থ,"[0, 5, 13]"
র্থ্য,"[0, 0, 1]"
র্দ,"[0, 14, 3]"
র্দ্ব,"[0, 1, 0]"
র্দ্র,"[0, 1, 0]"
র্ধ,"[0, 4, 0]"
র্ধ্ব,"[0, 1, 1]"
র্ন,"[0, 4, 0]"
র্প,"[0, 2, 0]"
র্ফ,"[0, 0, 2]"
র্ব,"[0, 13, 10]"
র্ব্য,"[0, 1, 1]"
র্ভ,"[0, 4, 2]"
র্ম,"[0, 15, 6]"
র্ম্য,"[0, 0, 2]"
র্য,"[0, 18, 16]"
র্য্য,"[0, 0, 1]"
র্ল,"[0, 1, 1]"
র্শ,"[0, 3, 7]"
র্শ্ব,"[0, 1, 1]"
র্শ্য,"[0, 0, 1]"
র্ষ,"[0, 1, 1]"
র্ষ্য,"[0, 0, 1]"
র্স,"[0, 1, 1]"
র্হ,"[0, 2, 0]"
ল্ক,"[0, 1, 1]"
ল্ক্য,"[0, 0, 1]"
ল্গ,"[0, 1, 0]"
ল্ট,"[0, 1, 8]"
ল্ড,"[0, 0, 1]"
ল্প,"[0, 5, 8]"
ল্ফ,"[0, 0, 1]"
ল্ব,"[0, 1, 1]"
ল্ভ,"[0, 1, 1]"
ল্ম,"[0, 1, 1]"
ল্য,"[0, 3, 3]"
ল্ল,"[0, 6, 0]"
শ্চ,"[0, 13, 1]"
শ্ছ,"[0, 1, 0]"
শ্ন,"[0, 1, 8]"
শ্ব,"[3, 26, 2]"
শ্ম,"[1, 1, 0]"
শ্য,"[0, 3, 11]"
শ্র,"[7, 10, 1]"
শ্ল,"[1, 1, 0]"
ষ্ক,"[0, 4, 2]"
ষ্ক্র,"[0, 1, 0]"
ষ্ট,"[0, 18, 44]"
ষ্ট্য,"[0, 0, 2]"
ষ্ঠ,"[0, 8, 6]"
ষ্ঠ্য,"[0, 0, 1]"
ষ্ণ,"[0, 2, 2]"
ষ্প,"[0, 4, 1]"
ষ্প্র,"[0, 1, 0]"
ষ্ফ,"[0, 1, 0]"
ষ্ব,"[0, 1, 0]"
ষ্ম,"[0, 2, 1]"
ষ্য,"[0, 1, 2]"
স্ক,"[9, 2, 0]"
স্ক্র,"[5, 0, 0]"
স্ট,"[15, 7, 9]"
স্ট্য,"[4, 0, 0]"
স্ট্র,"[1, 1, 0]"
স্ত,"[1, 22, 22]"
স্ত্ব,"[0, 1, 0]"
স্ত্য,"[0, 0, 1]"
স্ত্র,"[6, 3, 2]"
স্থ,"[4, 18, 14]"
স্থ্য,"[0, 0, 4]"
স্ন,"[5, 1, 0]"
স্প,"[5, 3, 0]"
স্প্র,"[3, 0, 0]"
স্প্ল,"[1, 0, 0]"
স্ফ,"[2, 2, 0]"
স্ব,"[28, 4, 1]"
স্ম,"[6, 1, 1]"
স্য,"[10, 4, 13]"
স্ল,"[1, 0, 0]"
হ্ণ,"[0, 0, 1]"
হ্ন,"[0, 0, 1]"
হ্ব,"[0, 1, 0]"
হ্ম,"[0, 1, 2]"
হ্য,"[1, 0, 6]"
হ্র,"[1, 0, 0]"
হ্ল,"[1, 1, 0]"
ড়্গ,"[0, 0, 1]"
