onset,freq
k,1930
t̪,1881
b,1808
ʃ,1674
n,1582
r,1343
m,1284
l,1216
d̪,1039
ɟ,887
p,849
h,685
cʰ,682
kʰ,629
ʲ,586
g,554
t,531
t̪ʰ,418
bʰ,405
c,403
ɽ,350
d̪ʰ,245
pʰ,138
gʰ,119
tʰ,111
ʷ,104
s,94
d,90
ɟʰ,60
dʰ,29
ŋ,16
ɽʰ,1
