type,freq
দাঁ,11
বাঁ,9
খাঁ,6
পৌঁ,5
সাঁ,5
খুঁ,4
কাঁ,4
পাঁ,3
হাঁ,3
খোঁ,3
বেঁ,2
সিঁ,2
কেঁ,2
কুঁ,2
স্যাঁ,2
উঁ,2
পঁ,2
পিঁ,2
আঁ,2
ফাঁ,2
তাঁ,1
সেঁ,1
ফোঁ,1
গোঁ,1
যাঁ,1
হেঁ,1
সুঁ,1
ছুঁ,1
ঠোঁ,1
ঘাঁ,1
জাঁ,1
ঝাঁ,1
ঘেঁ,1
গ্যাঁ,1
ঢ্যাঁ,1
গাঁ,1
