phone,freq
.,6337
a,2675
o,2216
e,1957
r,1892
i,1504
n,1343
ɔ,1115
ʃ,1033
k,967
t̪,952
b,905
l,784
u,729
m,675
p,611
d̪,558
ɟ,402
ʲ,384
t,379
g,371
kʰ,300
c,282
cʰ,275
i̯,248
h,241
s,234
bʰ,225
ɽ,179
æ,163
d̪ʰ,146
t̪ʰ,117
ŋ,111
pʰ,99
d,85
gʰ,75
o̯,70
tʰ,67
u̯,59
ã,57
ɟʰ,40
ʷ,35
õ,26
dʰ,26
æ̃,16
ĩ,10
ũ,10
ẽ,9
ɔ̃,6
ɽʰ,1
