dipthong,freq
e i̯,303
u i̯,48
a i̯,175
a o̯,87
e u̯,25
o u̯,72
e o̯,50
ɔ o̯,19
o i̯,87
õ u̯,14
i u̯,11
a u̯,6
ã i̯,1
æ o̯,1
i i̯,2
o o̯,3
u o,1
õ o,1
